ID,dep,life,years_waiting,obesity,alco,work_hours,crim,reject_chance,tid
0-10538022-138051,1,2,0,1,-1,2,0,2,10538022
0-6763252-138051,0,3,1,1,-3,1,-1,-3,6763252
0-10413406-138051,1,1,0,1,-1,1,1,1,10413406
0-4187985-138051,0,1,1,-2,-2,1,-3,-1,4187985
0-10750587-138051,3,2,3,0,0,0,0,-2,10750587
0-6995884-138051,1,2,1,0,0,0,-1,-1,6995884
0-10426892-138051,2,2,-1,-1,0,2,-1,2,10426892
0-8268253-138051,2,2,-2,-3,-3,-3,-3,3,8268253
0-10735361-138051,2,3,3,2,2,1,1,3,10735361
0-10713489-138051,1,3,2,-1,0,1,0,-2,10713489
0-9550059-138051,0,2,1,0,0,2,1,2,9550059
0-10681694-138051,2,2,1,0,0,1,0,2,10681694
0-7843734-138051,2,0,3,1,-1,1,-1,-1,7843734
0-5486468-138051,3,3,-1,-1,-1,-2,-2,3,5486468
0-4838513-138051,3,3,2,1,1,1,1,3,4838513
0-10750530-138051,2,3,2,-1,-2,-1,-1,3,10750530
0-8475727-138051,1,2,0,-1,-1,0,0,-2,8475727
0-3928887-138051,1,3,2,-1,0,2,-1,1,3928887
0-1820786-138051,3,1,1,-1,-1,1,-3,-2,1820786
0-2289549-138051,3,3,2,0,0,2,0,1,2289549
0-10790802-138051,1,3,2,1,-1,-1,-3,2,10790802
0-8961774-138051,2,0,3,0,1,1,1,1,8961774
0-287758-138051,3,1,-1,-1,1,2,-3,3,287758
0-10773648-138051,1,2,0,-1,-2,0,-1,-3,10773648
0-10499199-138051,0,2,1,-1,-1,2,0,2,10499199
0-8999200-138051,3,3,2,-1,-1,0,0,-2,8999200
0-3209886-138051,0,3,1,0,-1,2,-1,-3,3209886
0-3786009-138051,3,3,2,1,0,0,0,2,3786009
0-10835345-138051,0,3,1,-2,0,0,-3,0,10835345
0-4779161-138051,1,2,2,0,-1,0,0,-1,4779161
0-10678849-138051,1,1,1,0,0,1,-1,-1,10678849
0-7164735-138051,2,2,2,3,2,2,3,2,7164735
0-9256685-138051,2,3,1,0,1,1,0,3,9256685
0-4170692-138051,0,3,2,-1,0,0,3,2,4170692
0-10836276-138051,0,1,0,0,-2,0,-1,-1,10836276
0-2736219-138051,2,1,2,-1,-1,1,-2,2,2736219
0-6497857-138051,3,1,2,0,-1,1,-2,-3,6497857
0-2705475-138051,0,-3,-2,-1,-1,1,-2,-2,2705475
0-4715101-138051,1,2,3,0,0,3,1,2,4715101
0-2873289-138051,1,2,1,3,2,-1,1,3,2873289
0-4782868-138051,2,2,1,-1,0,1,-3,1,4782868
